22.86666666 +34.5000000 And
22.86666666 +52.5000000 And  Lac
23.33333333 +52.5000000 And  Cas
23.33333333 +50.0000000 And  Cas
23.58333333 +50.0000000 And  Cas
23.58333333 +48.0000000 And  Cas
 0.16666666 +48.0000000 And  Cas
 0.16666666 +46.0000000 And  Cas
 0.86666666 +46.0000000 And  Cas
 0.86666666 +48.0000000 And  Cas
 1.11666666 +48.0000000 And  Cas
 1.11666666 +50.0000000 And  Cas
 1.36666666 +50.0000000 And  Cas
 1.66666666 +50.0000000 And  Per
 1.66666666 +47.0000000 And  Per
 2.04166666 +47.0000000 And  Per
 2.04166666 +50.5000000 And  Per
 2.51666666 +50.5000000 And  Per
 2.51666666 +36.7500000 And  Per
 2.00000000 +36.7500000 And  Tri
 2.00000000 +35.0000000 And  Tri
 1.40833333 +35.0000000 And  Tri
 1.40833333 +33.0000000 And  Tri
 0.71666666 +33.0000000 And  Psc
 0.71666666 +23.7500000 And  Psc
 0.85000000 +23.7500000 And  Psc
 0.85000000 +21.0000000 And  Psc
 0.14166666 +21.0000000 And  Psc
 0.14166666 +22.0000000 And  Peg
 0.06666666 +22.0000000 And  Peg
 0.06666666 +28.0000000 And  Peg
 0.00000000 +28.0000000 And  Peg
 0.00000000 +31.3333333 And  Peg
23.75000000 +31.3333333 And  Peg
23.75000000 +32.0833333 And  Peg
23.50000000 +32.0833333 And  Peg
23.50000000 +34.5000000 And  Peg
22.86666666 +34.5000000 And  Peg
 9.36666666 -24.0000000 Ant
 9.75000000 -24.0000000 Ant  Hya
 9.75000000 -26.5000000 Ant  Hya
10.25000000 -26.5000000 Ant  Hya
10.25000000 -29.1666666 Ant  Hya
10.58333333 -29.1666666 Ant  Hya
10.58333333 -31.1666666 Ant  Hya
10.83333333 -31.1666666 Ant  Hya
10.83333333 -35.0000000 Ant  Hya
11.00000000 -35.0000000 Ant  Hya
11.00000000 -39.7500000 Ant  Cen
 9.36666666 -39.7500000 Ant  Vel
 9.36666666 -36.7500000 Ant  Vel
